,volume,nfbs,tweet_count,positive_tweets_ratio,favorite_boosted_score,hype_score,target,predicted,date
1640,6868572,631123,77,0.8961038961038961,386.0,414.0,0,0,07/30/2019
1641,7453200,-465491,92,0.9456521739130435,122.0,133.0,0,1,07/31/2019
1642,6659896,51267,131,0.9236641221374046,226.0,276.0,1,1,08/01/2019
1643,5681210,256646,175,0.8685714285714285,216.0,305.0,1,1,08/02/2019
1644,6368188,-1187543,30,0.9,41.0,48.0,0,0,08/05/2019
1645,9714828,-1675506,104,0.9038461538461539,213.5,264.5,0,0,08/06/2019
1646,6636210,-342504,93,0.8064516129032258,90.0,167.0,1,0,08/07/2019
1647,6250460,-66129,100,0.84,125.5,201.5,0,0,08/08/2019
1648,6166890,-670932,114,0.8859649122807017,195.0,223.0,0,0,08/09/2019
1649,8578641,-2116080,31,0.8709677419354839,30.0,42.0,0,0,08/13/2019
1650,6560606,-959088,87,0.896551724137931,135.5,176.5,1,0,08/14/2019
1651,11812934,-1748148,81,0.9012345679012346,83.5,119.5,0,0,08/15/2019
1652,8695813,298690,89,0.8089887640449438,38.0,131.0,0,1,08/16/2019
1653,7019014,-182677,14,0.9285714285714286,12.5,14.5,1,1,08/19/2019
1654,5424223,-351717,63,0.9047619047619048,91.0,104.0,0,0,08/20/2019
1655,9919519,-435011,50,0.92,46.0,55.0,0,0,08/22/2019
1656,8160096,-539134,68,0.8970588235294118,69.5,93.5,1,0,08/23/2019
1657,13472903,-1580999,33,0.9090909090909091,33.5,41.5,0,0,08/27/2019
1658,8358357,-557834,91,0.8241758241758241,72.5,129.5,1,0,08/28/2019
1659,8436855,-419625,61,0.8688524590163934,95.0,113.0,1,1,08/29/2019
1660,9737352,409130,77,0.935064935064935,112.5,131.5,1,1,08/30/2019
1661,5273855,-665185,29,1.0,94.0,94.0,0,0,09/02/2019
1662,6828352,104990,61,0.8524590163934426,61.5,92.5,0,0,09/03/2019
1663,6592284,-743699,61,0.9344262295081968,77.0,96.0,1,0,09/04/2019
1664,7108637,-672429,68,0.9558823529411765,101.0,107.0,1,1,09/05/2019
1665,7653588,-29110,83,0.927710843373494,178.0,208.0,1,1,09/06/2019
1666,7670652,-342746,24,1.0,26.0,26.0,1,0,09/09/2019
1667,5224655,609775,61,0.9344262295081968,233.0,241.0,0,1,09/10/2019
1668,6661531,143151,101,0.8712871287128713,97.0,153.0,1,1,09/11/2019
1669,6726044,-131261,84,0.9285714285714286,114.0,144.0,0,1,09/12/2019
1670,4530161,140550,54,0.9259259259259259,62.5,110.5,1,1,09/13/2019
1671,4967368,130401,32,0.9375,36.0,42.0,1,1,09/16/2019
1672,5206050,-214149,109,0.8807339449541285,155.5,221.5,0,0,09/17/2019
1673,6738430,-206654,105,0.8952380952380953,178.0,204.0,0,0,09/18/2019
1674,4116529,-398839,83,0.8072289156626506,100.0,140.0,0,0,09/19/2019
1675,10166678,-1065080,94,0.8617021276595744,93.5,135.5,0,0,09/20/2019
1676,5855242,-811597,42,0.9761904761904762,61.0,63.0,0,0,09/23/2019
1677,8504416,111091,60,0.85,65.0,85.0,1,1,09/24/2019
1678,5784772,-309580,72,0.8611111111111112,170.5,209.5,1,0,09/25/2019
1679,5690555,-472882,103,0.9029126213592233,120.5,185.5,1,0,09/26/2019
1680,5925337,-464095,56,0.9642857142857143,52.0,80.0,0,0,09/27/2019
1681,12926947,-2168237,24,1.0,86.5,86.5,0,0,09/30/2019
1682,5445951,-592647,56,0.9464285714285714,233.5,240.5,0,0,10/01/2019
1683,6138582,-497982,63,0.8888888888888888,83.0,99.0,0,0,10/02/2019
1684,8297558,-1263420,96,0.90625,118.0,152.0,0,0,10/03/2019
1685,5076207,-1321043,77,0.8701298701298701,93.0,132.0,1,0,10/04/2019
1686,5839858,130664,25,0.92,27.0,31.0,0,1,10/07/2019
1687,6950799,5213,36,0.8611111111111112,27.0,52.0,1,0,10/08/2019
1688,4795477,-1867593,70,0.9714285714285714,124.0,128.0,0,0,10/09/2019
1689,14458329,5068207,80,0.975,115.0,122.0,1,1,10/10/2019
1690,4503902,-233694,98,0.8673469387755102,112.0,184.0,1,1,10/11/2019
1691,3756664,68060,25,1.0,28.0,28.0,1,1,10/14/2019
1692,4604172,-347805,47,0.8936170212765957,84.5,94.5,0,1,10/15/2019
1693,5550072,841282,66,0.9242424242424242,121.5,143.5,1,1,10/16/2019
1694,5705065,1081493,62,0.9354838709677419,115.0,123.0,1,1,10/17/2019
1695,5467257,-244464,88,0.9659090909090909,128.0,134.0,0,1,10/18/2019
1696,3349611,-2970,26,0.9615384615384616,27.0,29.0,1,1,10/21/2019
1697,6044915,156504,49,0.9795918367346939,89.0,91.0,1,1,10/22/2019
1698,4672532,1136993,83,0.9036144578313253,122.5,141.5,0,1,10/23/2019
1699,5194291,494994,65,0.7846153846153846,65.5,130.5,1,1,10/24/2019
1700,6966242,-307275,73,0.9178082191780822,311.5,327.5,0,0,10/25/2019
1701,5879449,142546,37,0.8378378378378378,44.5,77.5,1,0,10/28/2019
1702,6629349,432683,66,0.9696969696969697,139.0,146.0,1,1,10/29/2019
1703,5989837,619527,85,0.9058823529411765,123.0,163.0,1,1,10/30/2019
1704,7761143,211354,84,0.8452380952380952,102.5,150.5,0,1,10/31/2019
1705,6574626,1003280,35,0.9142857142857143,32.5,39.5,1,1,11/04/2019
1706,9546984,1221794,58,0.9827586206896551,136.0,138.0,1,1,11/05/2019
1707,5889273,-975031,105,0.780952380952381,106.5,226.5,0,0,11/06/2019
1708,5117770,-161758,121,0.8264462809917356,107.5,154.5,1,1,11/07/2019
1709,6833535,-485407,122,0.9344262295081968,150.0,168.0,0,0,11/08/2019
1710,5387740,-419976,36,0.9444444444444444,60.0,64.0,0,0,11/11/2019
1711,4733765,-392042,67,0.9402985074626866,82.0,142.0,1,1,11/12/2019
1712,4626178,-720689,75,0.9066666666666666,104.5,125.5,0,0,11/13/2019
1713,4183646,-496566,100,0.93,132.5,158.5,0,0,11/14/2019
1714,6846705,-404881,99,0.8686868686868687,144.0,202.0,0,0,11/15/2019
1715,4322282,100226,31,1.0,43.0,43.0,0,1,11/18/2019
1716,6220490,-1027148,86,0.9651162790697675,161.5,179.5,1,0,11/19/2019
1717,4130627,-655080,95,0.9263157894736842,105.5,144.5,0,0,11/20/2019
1718,5718803,-1003929,116,0.853448275862069,87.5,155.5,0,0,11/21/2019
1719,5485774,-642360,186,0.8279569892473119,152.0,329.0,1,1,11/22/2019
1720,4677840,-1075683,43,0.8372093023255814,50.0,76.0,0,0,11/25/2019
1721,21156088,-4799505,81,0.8641975308641975,119.0,185.0,0,0,11/26/2019
1722,7679052,-1050927,114,0.8771929824561403,130.0,215.0,1,0,11/27/2019
1723,5437482,-744163,109,0.9357798165137615,162.0,181.0,0,0,11/28/2019
1724,6366902,-425212,112,0.8303571428571429,129.0,298.0,0,1,11/29/2019
1725,5314261,359267,41,0.9512195121951219,79.5,84.5,1,0,12/02/2019
1726,5063859,-155937,89,0.8764044943820225,130.5,168.5,0,1,12/03/2019
1727,7717400,922234,110,0.9181818181818182,531.5,575.5,0,0,12/04/2019
1728,6511209,37848,133,0.8571428571428571,219.5,294.5,0,0,12/05/2019
1729,5714203,-718663,101,0.8415841584158416,144.0,242.0,1,0,12/06/2019
1730,5554969,-308319,105,0.8761904761904762,930.5,1098.5,0,0,12/09/2019
1731,3869371,-563882,178,0.898876404494382,441.5,521.5,0,0,12/10/2019
1732,5288355,-471742,172,0.8953488372093024,332.5,450.5,1,0,12/11/2019
1733,6258279,-387408,281,0.8256227758007118,366.0,799.0,0,0,12/12/2019
1734,7488332,309552,201,0.8159203980099502,102.5,669.5,1,1,12/13/2019
1735,6233440,-983417,82,0.8292682926829268,20.0,312.0,0,1,12/16/2019
1736,10367683,-536035,155,0.8838709677419355,450.5,604.5,1,0,12/17/2019
1737,7801479,-1055889,276,0.8260869565217391,523.5,924.5,1,0,12/18/2019
1738,12599420,-2048227,274,0.8905109489051095,456.5,567.5,0,0,12/19/2019
1739,13153106,-1271056,223,0.9103139013452914,594.0,728.0,1,0,12/20/2019
1740,8296349,-1219944,82,0.975609756097561,378.0,429.0,1,0,12/23/2019
1741,3602654,143382,56,0.9464285714285714,74.0,95.0,0,1,12/26/2019
1742,6600742,-816995,91,0.945054945054945,220.0,242.0,0,0,12/27/2019
